1554643222.349007306,192.168.0.10,192.168.0.5
1554643222.349243850,192.168.0.5,192.168.0.10
1554643222.389408515,192.168.0.10,192.168.0.5
1554643222.395131384,192.168.0.5,192.168.0.10
1554643222.459075798,192.168.0.10,192.168.0.5
1554643222.462037230,192.168.0.5,192.168.0.10
1554643222.478636420,192.168.0.10,192.168.0.5
1554643222.481085354,192.168.0.10,192.168.0.5
1554643222.481445266,192.168.0.5,192.168.0.10
1554643222.482972230,192.168.0.5,192.168.0.10
1554643222.492902732,192.168.0.10,192.168.0.5
1554643222.495972989,192.168.0.5,192.168.0.10
1554643228.346141514,192.168.0.10,192.168.0.5
1554643228.346427895,192.168.0.5,192.168.0.10
1554643228.349398526,192.168.0.10,192.168.0.5
1554643228.355458934,192.168.0.5,192.168.0.10
1554643228.360012308,192.168.0.10,192.168.0.5
1554643228.362868014,192.168.0.5,192.168.0.10
1554643228.366692605,192.168.0.10,192.168.0.5
1554643228.369269528,192.168.0.10,192.168.0.5
1554643228.369444050,192.168.0.5,192.168.0.10
1554643228.371128390,192.168.0.5,192.168.0.10
1554643228.373437571,192.168.0.10,192.168.0.5
1554643228.376499002,192.168.0.5,192.168.0.10
1554643234.281947203,192.168.0.10,192.168.0.5
1554643234.282132981,192.168.0.5,192.168.0.10
1554643234.287595195,192.168.0.10,192.168.0.5
1554643234.293910499,192.168.0.5,192.168.0.10
1554643234.294265771,192.168.0.10,192.168.0.5
1554643234.297379262,192.168.0.5,192.168.0.10
1554643234.301169134,192.168.0.10,192.168.0.5
1554643234.304417870,192.168.0.5,192.168.0.10
1554643234.304729479,192.168.0.10,192.168.0.5
1554643234.306548351,192.168.0.5,192.168.0.10
1554643234.307728238,192.168.0.10,192.168.0.5
1554643234.310876642,192.168.0.5,192.168.0.10
1554643240.317951522,192.168.0.10,192.168.0.5
1554643240.318161988,192.168.0.5,192.168.0.10
1554643240.320915025,192.168.0.10,192.168.0.5
1554643240.327509989,192.168.0.5,192.168.0.10
1554643240.333273744,192.168.0.10,192.168.0.5
1554643240.336719550,192.168.0.5,192.168.0.10
1554643240.337093818,192.168.0.10,192.168.0.5
1554643240.337904776,192.168.0.10,192.168.0.5
1554643240.339711539,192.168.0.5,192.168.0.10
