1554642143.295887724,192.168.0.10,192.168.0.5
1554642143.296711724,192.168.0.5,192.168.0.10
1554642143.423655373,192.168.0.10,192.168.0.5
1554642143.424137546,192.168.0.5,192.168.0.10
1554642143.492530931,192.168.0.10,192.168.0.5
1554642143.492991813,192.168.0.5,192.168.0.10
1554642143.528194987,192.168.0.10,192.168.0.5
1554642143.529948808,192.168.0.5,192.168.0.10
1554642150.399211068,192.168.0.10,192.168.0.5
1554642150.400055772,192.168.0.5,192.168.0.10
1554642150.452058747,192.168.0.10,192.168.0.5
1554642150.452545185,192.168.0.5,192.168.0.10
1554642150.456290503,192.168.0.10,192.168.0.5
1554642150.456774588,192.168.0.5,192.168.0.10
1554642150.458165543,192.168.0.10,192.168.0.5
1554642150.460196000,192.168.0.5,192.168.0.10
1554642157.444487298,192.168.0.10,192.168.0.5
1554642157.445282285,192.168.0.5,192.168.0.10
1554642157.490246692,192.168.0.10,192.168.0.5
1554642157.490750822,192.168.0.5,192.168.0.10
1554642157.494176525,192.168.0.10,192.168.0.5
1554642157.494664004,192.168.0.5,192.168.0.10
1554642157.495994299,192.168.0.10,192.168.0.5
1554642157.497835778,192.168.0.5,192.168.0.10
1554642164.504471860,192.168.0.10,192.168.0.5
1554642164.505268003,192.168.0.5,192.168.0.10
1554642164.554006800,192.168.0.10,192.168.0.5
1554642164.554500712,192.168.0.5,192.168.0.10
1554642164.557201742,192.168.0.10,192.168.0.5
1554642164.557663701,192.168.0.5,192.168.0.10
1554642164.559523665,192.168.0.10,192.168.0.5
1554642164.561437221,192.168.0.5,192.168.0.10
1554642259.315077551,192.168.0.10,192.168.0.5
1554642259.315888862,192.168.0.5,192.168.0.10
1554642259.462722792,192.168.0.10,192.168.0.5
1554642259.463239961,192.168.0.5,192.168.0.10
1554642259.479319383,192.168.0.10,192.168.0.5
1554642259.479814018,192.168.0.5,192.168.0.10
1554642259.522147049,192.168.0.10,192.168.0.5
1554642259.524006521,192.168.0.5,192.168.0.10
1554642266.597072175,192.168.0.10,192.168.0.5
1554642266.597912950,192.168.0.5,192.168.0.10
1554642266.656470646,192.168.0.10,192.168.0.5
1554642266.656966035,192.168.0.5,192.168.0.10
1554642266.696689175,192.168.0.10,192.168.0.5
1554642266.697154807,192.168.0.5,192.168.0.10
1554642266.721916390,192.168.0.10,192.168.0.5
1554642266.723753938,192.168.0.5,192.168.0.10
1554642273.398336766,192.168.0.10,192.168.0.5
1554642273.399156508,192.168.0.5,192.168.0.10
1554642273.441626324,192.168.0.10,192.168.0.5
1554642273.442138562,192.168.0.5,192.168.0.10
1554642273.447198177,192.168.0.10,192.168.0.5
1554642273.447695141,192.168.0.5,192.168.0.10
1554642273.449284545,192.168.0.10,192.168.0.5
1554642273.451049040,192.168.0.5,192.168.0.10
1554642280.453845857,192.168.0.10,192.168.0.5
1554642280.454631647,192.168.0.5,192.168.0.10
1554642280.502826990,192.168.0.10,192.168.0.5
1554642280.503335085,192.168.0.5,192.168.0.10
1554642280.506285110,192.168.0.10,192.168.0.5
1554642280.506772234,192.168.0.5,192.168.0.10
