1554178198.588038451,192.168.0.10,192.168.0.5
1554178198.588831962,192.168.0.5,192.168.0.10
1554178198.744271079,192.168.0.10,192.168.0.5
1554178198.744758086,192.168.0.5,192.168.0.10
1554178198.746451960,192.168.0.10,192.168.0.5
1554178198.746905728,192.168.0.5,192.168.0.10
1554178198.747641805,192.168.0.10,192.168.0.5
1554178198.749453135,192.168.0.5,192.168.0.10
1554178204.570148778,192.168.0.10,192.168.0.5
1554178204.570939525,192.168.0.5,192.168.0.10
1554178204.715030690,192.168.0.10,192.168.0.5
1554178204.715516348,192.168.0.5,192.168.0.10
1554178204.717086532,192.168.0.10,192.168.0.5
1554178204.717548421,192.168.0.5,192.168.0.10
1554178204.718249853,192.168.0.10,192.168.0.5
1554178204.720139474,192.168.0.5,192.168.0.10
1554178210.592076737,192.168.0.10,192.168.0.5
1554178210.592825163,192.168.0.5,192.168.0.10
1554178210.736370192,192.168.0.10,192.168.0.5
1554178210.736861164,192.168.0.5,192.168.0.10
1554178210.738491736,192.168.0.10,192.168.0.5
1554178210.738949521,192.168.0.5,192.168.0.10
1554178210.739747848,192.168.0.10,192.168.0.5
1554178210.741447596,192.168.0.5,192.168.0.10
1554178216.622695227,192.168.0.10,192.168.0.5
1554178216.623471452,192.168.0.5,192.168.0.10
1554178216.767536103,192.168.0.10,192.168.0.5
1554178216.768046270,192.168.0.5,192.168.0.10
1554178216.769540484,192.168.0.10,192.168.0.5
1554178216.769993119,192.168.0.5,192.168.0.10
1554178216.770960807,192.168.0.10,192.168.0.5
1554178216.772703350,192.168.0.5,192.168.0.10
1554178222.649786792,192.168.0.10,192.168.0.5
1554178222.650611928,192.168.0.5,192.168.0.10
1554178222.795415848,192.168.0.10,192.168.0.5
1554178222.795886406,192.168.0.5,192.168.0.10
1554178222.797499621,192.168.0.10,192.168.0.5
1554178222.797955392,192.168.0.5,192.168.0.10
1554178222.798721032,192.168.0.10,192.168.0.5
1554178222.800450147,192.168.0.5,192.168.0.10
1554178228.684523674,192.168.0.10,192.168.0.5
1554178228.685329905,192.168.0.5,192.168.0.10
1554178228.832431274,192.168.0.10,192.168.0.5
1554178228.832891431,192.168.0.5,192.168.0.10
1554178228.834479484,192.168.0.10,192.168.0.5
1554178228.834928067,192.168.0.5,192.168.0.10
1554178228.835708904,192.168.0.10,192.168.0.5
1554178228.837448522,192.168.0.5,192.168.0.10
1554178234.731376048,192.168.0.10,192.168.0.5
1554178234.732105226,192.168.0.5,192.168.0.10
1554178234.883204084,192.168.0.10,192.168.0.5
1554178234.883686175,192.168.0.5,192.168.0.10
1554178234.885338237,192.168.0.10,192.168.0.5
1554178234.885802188,192.168.0.5,192.168.0.10
1554178234.886652181,192.168.0.10,192.168.0.5
1554178234.888324732,192.168.0.5,192.168.0.10
1554178240.742748170,192.168.0.10,192.168.0.5
1554178240.743512725,192.168.0.5,192.168.0.10
1554178240.889646353,192.168.0.10,192.168.0.5
1554178240.890126491,192.168.0.5,192.168.0.10
1554178240.891760187,192.168.0.10,192.168.0.5
1554178240.892216593,192.168.0.5,192.168.0.10
1554178240.892984084,192.168.0.10,192.168.0.5
1554178240.894741713,192.168.0.5,192.168.0.10
1554178246.770814132,192.168.0.10,192.168.0.5
1554178246.771596428,192.168.0.5,192.168.0.10
1554178246.914575589,192.168.0.10,192.168.0.5
1554178246.915049377,192.168.0.5,192.168.0.10
1554178246.917107852,192.168.0.10,192.168.0.5
1554178246.917569727,192.168.0.5,192.168.0.10
1554178246.918470887,192.168.0.10,192.168.0.5
1554178246.924966926,192.168.0.5,192.168.0.10
1554178252.802336374,192.168.0.10,192.168.0.5
1554178252.803059435,192.168.0.5,192.168.0.10
1554178252.948056160,192.168.0.10,192.168.0.5
1554178252.948542079,192.168.0.5,192.168.0.10
1554178252.950273116,192.168.0.10,192.168.0.5
1554178252.950769003,192.168.0.5,192.168.0.10
1554178252.951768207,192.168.0.10,192.168.0.5
1554178252.953518972,192.168.0.5,192.168.0.10
1554178258.824805160,192.168.0.10,192.168.0.5
1554178258.825601769,192.168.0.5,192.168.0.10
1554178258.969435458,192.168.0.10,192.168.0.5
1554178258.969908976,192.168.0.5,192.168.0.10
1554178258.971456850,192.168.0.10,192.168.0.5
1554178258.971917850,192.168.0.5,192.168.0.10
1554178258.972623216,192.168.0.10,192.168.0.5
1554178258.974476709,192.168.0.5,192.168.0.10
1554178264.860286077,192.168.0.10,192.168.0.5
1554178264.861050520,192.168.0.5,192.168.0.10
1554178265.005559969,192.168.0.10,192.168.0.5
1554178265.006040439,192.168.0.5,192.168.0.10
1554178265.007755383,192.168.0.10,192.168.0.5
1554178265.008220662,192.168.0.5,192.168.0.10
1554178265.009031016,192.168.0.10,192.168.0.5
1554178265.010885670,192.168.0.5,192.168.0.10
1554178270.888696995,192.168.0.10,192.168.0.5
1554178270.889484994,192.168.0.5,192.168.0.10
1554178271.034726070,192.168.0.10,192.168.0.5
1554178271.035205600,192.168.0.5,192.168.0.10
1554178271.036727399,192.168.0.10,192.168.0.5
1554178271.037186456,192.168.0.5,192.168.0.10
1554178271.038047315,192.168.0.10,192.168.0.5
1554178271.039747193,192.168.0.5,192.168.0.10
