1554179104.188829815,192.168.0.10,192.168.0.5
1554179104.189619077,192.168.0.5,192.168.0.10
1554179104.240509339,192.168.0.10,192.168.0.5
1554179104.241006260,192.168.0.5,192.168.0.10
1554179104.248421291,192.168.0.10,192.168.0.5
1554179104.248893440,192.168.0.5,192.168.0.10
1554179104.249902097,192.168.0.10,192.168.0.5
1554179104.251614396,192.168.0.5,192.168.0.10
1554179110.127458596,192.168.0.10,192.168.0.5
1554179110.128259998,192.168.0.5,192.168.0.10
1554179110.179290729,192.168.0.10,192.168.0.5
1554179110.179803575,192.168.0.5,192.168.0.10
1554179110.185371094,192.168.0.10,192.168.0.5
1554179110.185835492,192.168.0.5,192.168.0.10
1554179110.187297970,192.168.0.10,192.168.0.5
1554179110.189055340,192.168.0.5,192.168.0.10
1554179116.129028136,192.168.0.10,192.168.0.5
1554179116.129793204,192.168.0.5,192.168.0.10
1554179116.182261114,192.168.0.10,192.168.0.5
1554179116.182743402,192.168.0.5,192.168.0.10
1554179116.188703128,192.168.0.10,192.168.0.5
1554179116.189165011,192.168.0.5,192.168.0.10
1554179116.189908773,192.168.0.10,192.168.0.5
1554179116.191598998,192.168.0.5,192.168.0.10
1554179122.213445372,192.168.0.10,192.168.0.5
1554179122.214286590,192.168.0.5,192.168.0.10
1554179122.263187043,192.168.0.10,192.168.0.5
1554179122.263655775,192.168.0.5,192.168.0.10
1554179122.270067954,192.168.0.10,192.168.0.5
1554179122.270534466,192.168.0.5,192.168.0.10
1554179122.271461896,192.168.0.10,192.168.0.5
1554179122.273179868,192.168.0.5,192.168.0.10
1554179128.179315746,192.168.0.10,192.168.0.5
1554179128.180065359,192.168.0.5,192.168.0.10
1554179128.229446608,192.168.0.10,192.168.0.5
1554179128.229924561,192.168.0.5,192.168.0.10
1554179128.235224190,192.168.0.10,192.168.0.5
1554179128.235687615,192.168.0.5,192.168.0.10
1554179128.236411007,192.168.0.10,192.168.0.5
1554179128.238216844,192.168.0.5,192.168.0.10
1554179134.308780364,192.168.0.10,192.168.0.5
1554179134.309635224,192.168.0.5,192.168.0.10
1554179134.358455467,192.168.0.10,192.168.0.5
1554179134.358931168,192.168.0.5,192.168.0.10
1554179134.365872084,192.168.0.10,192.168.0.5
1554179134.366337430,192.168.0.5,192.168.0.10
1554179134.368284508,192.168.0.10,192.168.0.5
1554179134.369994225,192.168.0.5,192.168.0.10
1554179140.143630070,192.168.0.10,192.168.0.5
1554179140.144440145,192.168.0.5,192.168.0.10
1554179140.193172187,192.168.0.10,192.168.0.5
1554179140.193651996,192.168.0.5,192.168.0.10
1554179140.199605029,192.168.0.10,192.168.0.5
1554179140.200071027,192.168.0.5,192.168.0.10
1554179140.200929365,192.168.0.10,192.168.0.5
1554179140.202659938,192.168.0.5,192.168.0.10
1554179146.323161277,192.168.0.10,192.168.0.5
1554179146.324039976,192.168.0.5,192.168.0.10
1554179146.373787392,192.168.0.10,192.168.0.5
1554179146.374240342,192.168.0.5,192.168.0.10
1554179146.378655736,192.168.0.10,192.168.0.5
1554179146.379117850,192.168.0.5,192.168.0.10
1554179146.380844298,192.168.0.10,192.168.0.5
1554179146.382488314,192.168.0.5,192.168.0.10
